,layer,position,iia
0,0,0,0.06
1,0,1,0.1
2,0,2,0.06
3,0,3,0.08
4,0,4,0.1
5,0,5,0.02
6,0,6,0.08
7,0,7,0.06
8,0,8,0.04
9,0,9,0.0
10,0,10,0.0
11,0,11,0.1
12,0,12,0.06
13,0,13,0.04
14,0,14,0.0
15,0,15,0.02
16,0,16,0.02
17,0,17,0.14
18,0,18,0.02
19,0,19,0.02
20,0,20,0.06
21,0,21,0.1
22,0,22,0.0
23,0,23,0.06
24,0,24,0.0
25,0,25,0.04
26,0,26,0.02
27,0,27,0.0
28,0,28,0.0
29,0,29,0.02
30,0,30,0.02
31,0,31,0.0
32,0,32,0.0
33,0,33,0.02
34,0,34,0.02
35,0,35,0.02
36,0,36,0.02
37,0,37,0.02
38,0,38,0.02
39,0,39,0.06
40,0,40,0.02
41,0,41,0.06
42,0,42,0.02
43,0,43,0.04
44,0,44,0.02
45,0,45,0.06
46,0,46,0.04
47,0,47,0.08
48,0,48,0.02
49,0,49,0.12
50,0,50,0.0
51,0,51,0.1
52,0,52,0.14
53,0,53,0.12
54,0,54,0.22
55,0,55,0.14
56,1,0,0.0
57,1,1,0.02
58,1,2,0.08
59,1,3,0.08
60,1,4,0.08
61,1,5,0.08
62,1,6,0.08
63,1,7,0.04
64,1,8,0.02
65,1,9,0.0
66,1,10,0.06
67,1,11,0.04
68,1,12,0.06
69,1,13,0.04
70,1,14,0.0
71,1,15,0.0
72,1,16,0.06
73,1,17,0.0
74,1,18,0.06
75,1,19,0.08
76,1,20,0.0
77,1,21,0.1
78,1,22,0.02
79,1,23,0.02
80,1,24,0.0
81,1,25,0.08
82,1,26,0.06
83,1,27,0.0
84,1,28,0.0
85,1,29,0.0
86,1,30,0.0
87,1,31,0.0
88,1,32,0.0
89,1,33,0.0
90,1,34,0.1
91,1,35,0.02
92,1,36,0.08
93,1,37,0.0
94,1,38,0.1
95,1,39,0.02
96,1,40,0.0
97,1,41,0.02
98,1,42,0.02
99,1,43,0.02
100,1,44,0.04
101,1,45,0.0
102,1,46,0.04
103,1,47,0.0
104,1,48,0.02
105,1,49,0.08
106,1,50,0.04
107,1,51,0.06
108,1,52,0.08
109,1,53,0.26
110,1,54,0.28
111,1,55,0.28
112,2,0,0.06
113,2,1,0.0
114,2,2,0.06
115,2,3,0.0
116,2,4,0.0
117,2,5,0.0
118,2,6,0.1
119,2,7,0.0
120,2,8,0.08
121,2,9,0.02
122,2,10,0.04
123,2,11,0.0
124,2,12,0.04
125,2,13,0.0
126,2,14,0.14
127,2,15,0.1
128,2,16,0.0
129,2,17,0.1
130,2,18,0.02
131,2,19,0.08
132,2,20,0.06
133,2,21,0.0
134,2,22,0.04
135,2,23,0.04
136,2,24,0.0
137,2,25,0.04
138,2,26,0.0
139,2,27,0.0
140,2,28,0.0
141,2,29,0.04
142,2,30,0.04
143,2,31,0.04
144,2,32,0.06
145,2,33,0.06
146,2,34,0.04
147,2,35,0.0
148,2,36,0.08
149,2,37,0.08
150,2,38,0.02
151,2,39,0.0
152,2,40,0.0
153,2,41,0.04
154,2,42,0.0
155,2,43,0.04
156,2,44,0.0
157,2,45,0.04
158,2,46,0.02
159,2,47,0.0
160,2,48,0.0
161,2,49,0.04
162,2,50,0.1
163,2,51,0.02
164,2,52,0.3
165,2,53,0.24
166,2,54,0.3
167,2,55,0.46
168,3,0,0.06
169,3,1,0.0
170,3,2,0.04
171,3,3,0.04
172,3,4,0.02
173,3,5,0.02
174,3,6,0.1
175,3,7,0.0
176,3,8,0.02
177,3,9,0.02
178,3,10,0.02
179,3,11,0.0
180,3,12,0.0
181,3,13,0.0
182,3,14,0.12
183,3,15,0.02
184,3,16,0.04
185,3,17,0.0
186,3,18,0.0
187,3,19,0.02
188,3,20,0.0
189,3,21,0.0
190,3,22,0.0
191,3,23,0.04
192,3,24,0.0
193,3,25,0.04
194,3,26,0.0
195,3,27,0.0
196,3,28,0.0
197,3,29,0.04
198,3,30,0.02
199,3,31,0.02
200,3,32,0.02
201,3,33,0.02
202,3,34,0.0
203,3,35,0.0
204,3,36,0.06
205,3,37,0.0
206,3,38,0.0
207,3,39,0.0
208,3,40,0.02
209,3,41,0.1
210,3,42,0.02
211,3,43,0.04
212,3,44,0.06
213,3,45,0.06
214,3,46,0.02
215,3,47,0.06
216,3,48,0.0
217,3,49,0.02
218,3,50,0.06
219,3,51,0.02
220,3,52,0.08
221,3,53,0.16
222,3,54,0.14
223,3,55,0.4
224,4,0,0.12
225,4,1,0.0
226,4,2,0.0
227,4,3,0.0
228,4,4,0.0
229,4,5,0.0
230,4,6,0.12
231,4,7,0.0
232,4,8,0.0
233,4,9,0.0
234,4,10,0.0
235,4,11,0.0
236,4,12,0.02
237,4,13,0.02
238,4,14,0.0
239,4,15,0.0
240,4,16,0.0
241,4,17,0.0
242,4,18,0.0
243,4,19,0.0
244,4,20,0.04
245,4,21,0.0
246,4,22,0.0
247,4,23,0.0
248,4,24,0.0
249,4,25,0.0
250,4,26,0.02
251,4,27,0.0
252,4,28,0.0
253,4,29,0.0
254,4,30,0.0
255,4,31,0.0
256,4,32,0.0
257,4,33,0.0
258,4,34,0.0
259,4,35,0.0
260,4,36,0.0
261,4,37,0.0
262,4,38,0.0
263,4,39,0.0
264,4,40,0.0
265,4,41,0.0
266,4,42,0.0
267,4,43,0.0
268,4,44,0.0
269,4,45,0.1
270,4,46,0.0
271,4,47,0.0
272,4,48,0.0
273,4,49,0.0
274,4,50,0.0
275,4,51,0.08
276,4,52,0.0
277,4,53,0.02
278,4,54,0.38
279,4,55,0.62
280,5,0,0.0
281,5,1,0.0
282,5,2,0.0
283,5,3,0.0
284,5,4,0.0
285,5,5,0.0
286,5,6,0.0
287,5,7,0.0
288,5,8,0.0
289,5,9,0.0
290,5,10,0.0
291,5,11,0.0
292,5,12,0.0
293,5,13,0.0
294,5,14,0.0
295,5,15,0.0
296,5,16,0.0
297,5,17,0.0
298,5,18,0.0
299,5,19,0.0
300,5,20,0.0
301,5,21,0.0
302,5,22,0.0
303,5,23,0.0
304,5,24,0.0
305,5,25,0.0
306,5,26,0.0
307,5,27,0.0
308,5,28,0.0
309,5,29,0.0
310,5,30,0.0
311,5,31,0.0
312,5,32,0.0
313,5,33,0.0
314,5,34,0.0
315,5,35,0.0
316,5,36,0.0
317,5,37,0.0
318,5,38,0.0
319,5,39,0.0
320,5,40,0.0
321,5,41,0.0
322,5,42,0.0
323,5,43,0.0
324,5,44,0.0
325,5,45,0.0
326,5,46,0.0
327,5,47,0.0
328,5,48,0.0
329,5,49,0.0
330,5,50,0.0
331,5,51,0.0
332,5,52,0.0
333,5,53,0.0
334,5,54,0.0
335,5,55,0.62
